aws_cloudformation_stack,id
aws_cloudfront_cache_policy,id
aws_cloudfront_distribution,id
aws_cloudtrail,id
aws_cloudwatch_event_rule,id
aws_cloudwatch_event_target,id
aws_cloudwatch_log_group,name
aws_cloudwatch_metric_alarm,id
aws_cognito_identity_pool,id
aws_cognito_user_pool,id
aws_cognito_user_pool_client,id
aws_config_config_rule,name
aws_config_configuration_recorder,id
aws_config_delivery_channel,id
aws_db_instance,identifier
aws_db_parameter_group,id
aws_db_snapshot,db_snapshot_identifier
aws_db_subnet_group,id
aws_default_network_acl,id
aws_ec2_transit_gateway,id
aws_ec2_transit_gateway_vpc_attachment,id
aws_eip,id
aws_glue_catalog_database,id
aws_glue_catalog_table,id
aws_iam_access_key,id
aws_iam_group,id
aws_iam_group_policy_attachment,id
aws_iam_instance_profile,id
aws_iam_policy,id
aws_iam_role,id
aws_iam_role_policy,id
aws_iam_role_policy_attachment,id
aws_iam_user,id
aws_iam_user_group_membership,id
aws_iam_user_policy_attachment,id
aws_instance,id
aws_internet_gateway,id
aws_kms_alias,id
aws_kms_grant,id
aws_kms_key,id
aws_lambda_function,id
aws_lambda_permission,id
aws_main_route_table_association,id
aws_nat_gateway,id
aws_network_interface,id
aws_opsworks_user_profile,id
aws_route_table,id
aws_route_table_association,id
aws_s3_bucket,bucket
aws_s3_bucket_policy,bucket
aws_security_group,id
aws_securityhub_account,id
aws_securityhub_standards_subscription,id
aws_sns_topic,id
aws_sns_topic_subscription,id
aws_ssm_parameter,name
aws_subnet,id
aws_vpc,id
aws_workspaces_directory,id
aws_workspaces_workspace,id
aws_docdb_subnet_group,id
aws_network_acl,id
aws_acm_certificate,id
aws_api_gateway_documentation_part,id
aws_api_gateway_integration,id
aws_api_gateway_integration_response,id
aws_api_gateway_method,id
aws_api_gateway_method_response,id
aws_api_gateway_model,id
aws_api_gateway_resource,id
aws_api_gateway_rest_api,id
aws_api_gateway_stage,id
aws_api_gateway_usage_plan,id
aws_cloudwatch_dashboard,id
aws_codebuild_project,id
aws_codepipeline,id
aws_db_option_group,id
aws_dynamodb_table,id
aws_ebs_volume,id
aws_ecr_repository,id
aws_ecr_repository_policy,id
aws_ecs_cluster,id
aws_ecs_service,id
aws_ecs_task_definition,arn
aws_efs_access_point,id
aws_efs_file_system,id
aws_efs_mount_target,id
aws_elb,id
aws_iot_thing_type,id
aws_lambda_function_event_invoke_config,id
aws_lambda_layer_version,id
aws_launch_configuration,id
aws_lb,id
aws_lb_listener,id
aws_lb_listener_certificate,id
aws_lb_listener_rule,id
aws_lb_target_group,id
aws_lb_target_group_attachment,id
aws_rds_cluster,id
aws_route53_record,id
aws_route53_zone,id
aws_servicecatalog_portfolio,id
aws_sfn_state_machine,id
aws_volume_attachment,id
aws_vpc_peering_connection,id
aws_vpn_gateway,id
